index,mmr_ancestors,mmr_samples,mean_iqs,median_iqs,perc_et_100_iqs,perc_gt_90_iqs,perc_gt_80_iqs,perc_gt_70_iqs
67,3,-7,0.8907886598714013,1.0,0.5910505836575876,0.8287937743190662,0.8743190661478599,0.8918287937743191
68,3,-6,0.8907461486451932,1.0,0.590891397430907,0.8287271311794473,0.8742701440249124,0.8917866874270144
69,3,-5,0.8907036043105535,1.0,0.5907320872274143,0.8286604361370716,0.8742211838006231,0.8917445482866043
70,3,-4,0.8897679175021047,1.0,0.6107434799532893,0.8244453094589335,0.8731023744647722,0.8902296613468276
71,3,-3,0.8897138632814505,1.0,0.6104765655769988,0.8184324537219377,0.8692398582118944,0.8909019298936589
72,4,-2,0.8721490198751464,1.0,0.5138339920948617,0.7575757575757576,0.8445322793148881,0.8783487044356609
73,4,-1,0.871778800493356,1.0,0.5205173951828724,0.7484388938447815,0.8367528991971455,0.8786797502230151
74,4,0,0.8716869923168922,1.0,0.5138516532618409,0.7493297587131368,0.8369079535299374,0.8784629133154602
75,4,1,0.8714085908367898,1.0,0.5136832660385823,0.7496635262449529,0.8366980708838044,0.8784208165096455
76,4,2,0.8652748217640782,0.9655647383,0.35510579576816925,0.718491260349586,0.8196872125114996,0.8804047838086476
77,4,3,0.8609833617012386,0.9583680266,0.33651551312649164,0.7026252983293556,0.8176610978520287,0.8835322195704057
78,4,4,0.8319934350154871,0.9136442142,0.22609561752988047,0.5687250996015937,0.7838645418326693,0.8675298804780877
79,4,-7,0.8859561741684896,1.0,0.5681528662420382,0.8246284501061572,0.8713375796178344,0.8925690021231423
80,4,-6,0.885916452109173,1.0,0.5683942225998301,0.824553950722175,0.8712829226847918,0.8925233644859814
81,4,-5,0.8858679678134268,1.0,0.5682107947301317,0.8244793880152996,0.8712282192945177,0.8924776880577986
82,4,-4,0.8837248453129938,1.0,0.5872611464968153,0.8118895966029724,0.8670912951167729,0.889171974522293
83,4,-3,0.8772848074008596,1.0,0.55817947617003,0.7668527264920567,0.8561614426792615,0.8784886217260627
84,-7,-2,0.9181165664528175,1.0,0.645791915175613,0.8598409542743539,0.8986083499005965,0.9158383035122598
